park_name_th,attraction_name,type(จุดชมวิว/น้ำตก/ถ้ำ/หาด/ยอดเขา/น้ำพุร้อน),description(เชิง marketing),lat,lng,image_url
อุทยานแห่งชาติเขาใหญ่,น้ำตกเหวสุวัต,น้ำตก,เป็นน้ำตกแห่งแรกของลำห้วยลำตะคองที่ไหลผ่านหน้าผาหินทรายโค้งสูงประมาณ 20 เมตร ลงสู่แอ่งน้ำด้านล่างที่มีความสวยงามเป็นอย่างมาก โดยเฉพาะในช่วงฤดูฝนจะมีน้ำมากและกระแสน้ำแรง ส่วนในช่วงหน้าแล้งปริมาณน้ำค่อนข้างน้อยจนเห็นน้ำตกเป็นสายน้ำเล็กๆ จนเห็นโพรงถ้ำหลังน้ำตก,14.43562601,101.4141585,
อุทยานแห่งชาติเขาใหญ่,หอดูสัตว์หนองผักชี,จุดดูสัตว์,หอดูสัตว์หนองผักชี สามารถมองเห็นทิวทัศน์ได้โดยรอบ ในบางเวลาจะเห็นสัตว์มากินดินที่โป่งเทียม และกินน้ำที่แหล่งน้ำ การเดินทางมาที่หอดูสัตว์หนองผักชี ให้จอดรถที่บริเวณกิโลเมตร 35 ถนนธนะรัชต์ แล้วเดินเข้ามาระหว่างทางจะเป็นป่าหญ้า ระยะทางประมาณ 1 กิโลเมตร,14.45410376,101.3602631,
อุทยานแห่งชาติเขาใหญ่,ผาเดียวดาย,จุดชมวิว,เป็นจุดชมทิวทัศน์ที่สวยงามน่าชม มีลักษณะคล้ายผานกเค้าที่ภูกระดึง เป็นจุดชมวิวซึ่งเป็นลานหินยื่นออกมาจากหน้าผา ขนาดพื้นที่ประมาณ 15 ตารางเมตร มุมมองกว้างจะมองเห็นภูเขาร่มขวางอยู่เป็นแนวยาว และป่าดงดิบหนาทึบ จนถึงทุ่งงูเหลือม และเขาสมอปูน ตอนเช้าตรู่จะเห็นดวงอาทิตย์ขึ้นยามเช้าเป็นดวงกลมสีแดงเหนือสันเขาร่มที่สวยงาม,14.36781546,101.4073345,
อุทยานแห่งชาติภูกระดึง,ผานกแอ่น,จุดชมวิว,เป็นลานหินเล็กๆ มีสนขึ้นโดดเด่นริมหน้าผาต้นหนึ่ง เป็นจุดชมพระอาทิตย์ขึ้นที่งดงามยิ่ง อากาศสดชื่นเย็นสบาย มองเห็นทิวทัศน์เบื้องล่างซึ่งเป็นท้องทุ่งและเทือกเขา เห็นผานกเค้าได้ชัดเจน ริมทางเดินใกล้ผานกแอ่นเป็นสวนหินมีดอกกุหลาบป่าขึ้นอยู่เป็นดงใหญ่ จะบานสะพรั่งเต็มต้นในเดือนมีนาคม-เมษายน ผู้ที่ไปชมประอาทิตย์ขึ้นที่ผานกแอ่น ควรเตรียมไฟฉายสำหรับใช้ส่องทางไปด้วย,16.89348772,101.8001705,
อุทยานแห่งชาติภูกระดึง,ผาหล่มสัก,จุดชมวิว,เป็นลานหินกว้างและมีสนต้นหนึ่งขึ้นชิดริมผาใกล้กับชะง่อนหินที่ยื่นออกไปในอากาศทางทิศใต้ บริเวณผาหล่มสักนี้มองเห็นทิวทัศน์ของเทือกเขาสลับซับซ้อนในเขตจังหวัดเพชรบูรณ์ และเป็นจุดหนึ่งที่จะชมพระอาทิตย์ตกได้อย่างชัดเจนและงดงามมาก ผู้ที่ไปชมประอาทิตย์ตกที่ผาหล่มสัก ควรเตรียมเสื้อกันหนาวและไฟฉายสำหรับใช้ส่องทางเวลาเดินกลับที่พัก ซึ่งโดยทั่วไปจะใช้เวลา 2-3 ชั่วโมง,16.8601084,101.7254585,
อุทยานแห่งชาติภูกระดึง,น้ำตกถ้ำใหญ่,น้ำตก,ในเส้นทางถ้ำใหญ่นี้มีทางเดินบางช่วงที่เลียบข้างลำห้วยเล็กๆ มีต้นเมเปิ้ลอยู่เป็นระยะๆ หากช่วงต้นมกราคม เส้นทางนี้จะแดงฉานด้วยใบเมเปิ้ลที่ร่วงหล่นเกลื่อนพื้นป่า ความสวยงามของน้ำตกถ้ำใหญ่จะแปลกตาด้วยโขดหินมหึมาวางทับซ้อนไม่เป็นระเบียบ ลำธารนี้ขนาบข้างด้วยต้นเมเปิ้ล ยามเมเปิ้ลแดงล่วงหล่น ขัดสีให้ลำธารหินเขียวสวยงามมีสีสันและมีชีวิตชีวาขึ้นมามากนัก,16.88680566,101.7791963,
อุทยานแห่งชาติดอยอินทนนท์,กิ่วแม่ปาน,เส้นทางศึกษาธรรมชาติ,เป็นเส้นทางเดินศึกษาธรรมชาติระยะสั้น เป็นวงรอบระยะทางประมาณ 3 กิโลเมตร  สามารถวนรอบไปกลับในวันเดียว ตามหนทางจะผ่านไปสู่ป่าดงดิบริมธารน้ำ ขึ้นเนินผ่านป่าที่ห้อยระย้าด้วยมอส ฝอยลม ในยามหน้าฝนจะถูกปกคลุมด้วยหมอกขาวและอากาศที่หนาวเย็น สุดปลายทางที่ทุ่งหญ้าบนเนินที่ดารดาษด้วยดอกไม้ตามพื้น,18.55606404,98.4825218,
อุทยานแห่งชาติดอยอินทนนท์,น้ำตกผาดอกเสี้ยว,น้ำตก, เป็นน้ำตกขนาดใหญ่ที่งดงาม ซ่อนตัวอยู่ภายใต้ความสมบูรณ์ของผืนป่า ตั้งชื่อตามชื่อต้นเสี้ยวซึ่งเป็นไม้เด่นบริเวณนั้น มีทั้งหมด 10 ชั้น โดยชั้นที่ชมได้สะดวกคือ ชั้นที่ 6-10 การเดินทางจะต้องเดินเท้าจากที่ทำการอุทยานแห่งชาติประมาณ 1 กิโลเมตร,18.53822588,98.53581259,
อุทยานแห่งชาติดอยอินทนนท์,ยอดดอยอินทนนท์,ยอดเขา,เป็นยอดเขาสูงสุดของประเทศ เป็นดินแดนที่มีสภาพป่าดงดิบเขาระดับสูงที่ยังมีความอุดมสมบูรณ์ มีลักษณะของพันธุ์ไม้เขตอบอุ่น ผสมกับพันธุ์ไม้เขตร้อนที่ยังคงมีพรรณไม้ในสกุลต่างๆ ให้ได้พบเห็นและสิ่งหนึ่งที่จะรู้สึกความแตกต่างระหว่างยอดดอยอินทนนท์กับพื้นที่เชิงดอยก็คืออุณหภูมิความหนาวเย็นที่แตกต่างกันมาก  เหตุที่เกิดปรากฏการณ์เช่น ก็เพราะมีองค์ประกอบหลายอย่าง ความสูงของพื้นที่ก็เป็นตัวกำหนดที่ค่อนข้างเด่นชัด เนื่องจากความสูงที่เพิ่มขึ้น จะทำให้อุณหภูมิลดลง ความสูงเพิ่มขึ้นทุกๆ 100 เมตร จะทำให้อุณหภูมิลดลงโดยเฉลี่ยประมาณ 0.1 องศาเซลเซียส โดยทั่วไปแล้วจะมีสภาพที่ชุ่มชื้นและหนาวเย็นตลอดปี โดยเฉพาะอย่างยิ่งบริเวณยอดดอยอินทนนท์,18.58812939,98.48714031,
อุทยานแห่งชาติแก่งกระจาน,เขาพะเนินทุ่ง,ยอดเขา,มีลักษณะเป็นทุ่งหญ้าและป่าดิบ อากาศหนาวเย็นตลอดปี ประกอบด้วยทิวทัศน์ที่งดงามทั้งยามปกติและยามมีทะเลหมอกใในช่วงปลายฤดูฝนและต้นฤดูหนาวที่งดงามที่สุดแห่งหนึ่ง ซึ่งเหมาะแก่การพักแรม โดยอยู่ห่างจากที่ทำการอุทยานแห่งชาติ 50 กิโลเมตร บนยอดเขาปกคลุมด้วยทุ่งหญ้าและไม้ต้นเล็กๆ ,12.82544694,99.36355484,
อุทยานแห่งชาติแก่งกระจาน,น้ำตกผาน้ำหยด,น้ำตก,มีเอกลักษณ์ที่แปลกตา งดงามซึ่งเกิดจากการสะสมของหินปูนจนมีความคล้ายร่ม เป็นจำนวน 3 ชั้น สูงราว 35 เมตร กว้าง 15 เมตรทำให้มีความแตกต่างจากน้ำตกอื่นๆ เมื่อมีน้ำตกไหลลง เกิดความสวยงามเป็นลักษณะคล้ายร่มซ้อนกันหลายๆ ชั้น ด้านล่างของน้ำตกจะมีสระน้ำสีมรกต,12.70341445,99.63338866,
อุทยานแห่งชาติแก่งกระจาน,อ่างเก็บน้ำแก่งกระจาน,แหล่งน้ำ,มีเนื้อที่ประมาณ 46.5 ตารางกิโลเมตร เกิดจากการสร้างเขื่อนดินปิด 3 ช่องทางระหว่างหุบเขา ทำให้น้ำเอ่อล้นท่วมแก่งน้ำเดิม เป็นพื้นน้ำอาณาเขตกว้างขวางจากยอดเขาเนินเขาหลากเป็นเกาะโผล่พ้นน้ำถึง 30-40 เกาะ ก่อให้เกิดทิวทัศน์งดงามยิ่งเหมาะสำหรับการนั่งเรือชมทัศนียภาพและชมพระอาทิตย์ตกยามเย็นที่สันเขาตะนาวศรี ,12.88495196,99.63170314,
